證券代碼,year,市值(百萬元),股價營收比,淨值報酬率─稅後,資產報酬率 ROA,營業利益率 OPM,利潤邊際 NPM,負債/淨值比,稅後淨利成長率
1519,2024,0.7431580000000001,1.0375593415705198e-07,-9788043.478260871,-3602000.0,2.740822100034359,-0.05028928906554207,42.594458438287155,-30.63739649528211
1519,2025,,,-54697578.03393343,-21116000.0,5.223557170662434,-0.26080054007795117,55.85177286057053,486.2298722931705
1590,2015,0.124683,5.76099381682994e-08,0.03177822774188593,0.015193873121931252,-4.954390919398853,0.15062871315949733,5.019205357146338e-07,
1590,2016,0.19247999999999998,7.256189324414393e-08,0.01753059605184348,0.008300827848825158,-8.259834006375556,0.06849800500031668,5.023457445203248e-07,-44.263803680981596
1590,2017,0.358248,1.038317235582671e-07,-0.0021240026270558806,-0.0020427591510223083,1.3612538131018541,-0.0066081689140720665,5.132740208604745e-07,-112.54815630159602
1590,2018,0.191884,5.357178254240662e-08,-0.0008399379385517063,-0.0006734296678087586,3.07651632093374,-0.0032944228492234793,8.772294054314536e-10,-48.24561403508771
1590,2019,0.21001200000000006,5.13102170395892e-08,-0.0013801742608729412,-0.0006734296678087586,0.479039019434711,-0.002882980787131937,0.28571428571428575,0.0
1590,2020,0.3876,7.191079943992693e-08,-234539.4407136414,-117000.0,5.915498131636466,-0.0021706820264374227,0.42380689146858297,-0.8474576271186418
1590,2021,0.357407,6.196868614047371e-08,-171901.85966557273,-110000.0,4.5699017016261,-0.0019072249495539003,0.18993352326685664,-5.982905982905984
1590,2022,0.37245,5.9455461721266346e-08,-128529.43187256443,-94000.0,-1.2427460585315036,-0.001500554007732323,0.165380374862183,-14.54545454545455
1590,2023,0.3705300000000001,5.037256365393793e-08,-108695.65217391305,-77000.0,0.3056911630158011,-0.001046794429966054,0.14467592592592593,-18.085106382978722
1590,2024,0.274477,3.589898995711902e-08,-101102.94117647059,-77000.0,1.4345758345677777,-0.0010070870151955044,0.13221153846153846,0.0
1590,2025,,,-105395.80707984878,-92000.0,1.4807962555971745,-0.0010182466478932976,0.15320639089516308,19.480519480519476
1605,2015,25532641.428,0.6819987550069169,0.22961387689735113,0.1352899766974273,-0.24211255747141558,0.37829519499179964,6.368345561216127e-08,
1605,2016,46587002.65,1.1952510523516955,0.19545670850517285,0.11129888435606507,1.2365807504068258,0.3095255425471456,7.006953446095959e-08,-14.8157824128338
1605,2017,54360903.22999999,1.2307230280300434,0.144426023383199,0.16044743943199477,0.8989335993848478,0.20361607404428336,0.0,-25.451953283655083
1605,2018,63526603.82000001,1.4627227932485416,0.1729918897730538,0.18270824765044352,2.3965828710954344,0.2790328004973846,2.5863848665862512e-11,34.744321024717294
1605,2019,46564002.8,1.5172759834066767,0.3906462465863989,0.22324795248614185,-0.953559868319847,0.9846750377518665,0.0,149.36171968477944
1605,2020,0.0408576,1.3100135513889092e-09,0.35927423585577406,0.20136832406093388,1.7447224850935523,0.4457097181237362,0.0,-53.99865646995754
1605,2021,0.04940625,1.0641380861119115e-09,756587427.3639727,429666000.0,2.1036813227760067,0.925437479888396,0.0,209.08777003258737
1605,2022,0.076176,1.741751739099418e-09,-286210053.7019104,-0.14432612439748013,-2.1675590049955096,-0.3716747669158629,0.0,-137.83240935982835
1605,2023,0.05813939999999999,1.3416815061234174e-09,-444910146.5302737,-0.09834628044111304,0.5607635801942781,-0.5570458794502648,503376996399.46936,48.49679796743216
1605,2024,0.0375615,8.051365143829772e-10,-101589429.70951132,-0.019390751187290375,-1.609272007102238,-0.11206941251410406,545504477671.45135,-78.34050027756373
1605,2025,,,-67761877.50429307,-0.0259581500350088,2.547617719502329,-0.08483952718339531,0.1646542261251372,-32.07352294244783
1717,2015,31891672.8,3.3388093774897114,-0.029718691863495066,-0.01322945328276525,1.0454353677470554,-0.06802899136394046,2.488906142215146e-07,
1717,2016,36264511.125,3.4915347194073796,-0.09990158902542713,-0.042925846705840945,0.7470049805466952,-0.2055185574226321,2.750966647799792e-07,228.50107725453987
1717,2017,35701502.76,3.2045970801694503,0.0017292577161253533,0.0013747191309257686,2.7831427336575794,0.003105725260901118,271.8371996614606,-101.62091258315375
1717,2018,29890735.95,2.8613615849695773,-0.056710604143271254,-0.04188720215750327,-0.36460641260430815,-0.10898561246324427,2.867198661681937e-07,-3390.4624277456646
1717,2019,32371294.95,3.1825106113852835,-0.10244606965050275,-0.04017862624306324,0.5294435833341035,-0.21361391526346535,2.7667087377611664e-07,90.84760649978041
1717,2020,0.0770243,6.47472229472464e-09,-0.1383401061761418,-0.05507026262680345,-0.6920975727031129,-0.12451922490922487,144.29133858267716,-31.825294550810014
1717,2021,0.07427624999999999,5.692657319906015e-09,-142183936.53941497,-57357000.0,0.09128791684744525,-0.43959374079581204,147.97702297702298,287.20718287990275
1717,2022,0.0642432,5.457754420930431e-09,9821227.653456682,3928000.0,-0.13613122764897953,0.033370161146105325,149.18648310387985,-106.84833586135956
